gnis,place_name,source_general_code,print_page
2411506,City of Queen City,https://ecode360.com/QU6452,https://ecode360.com/print/QU6452?guid=QU6452
2412039,City of Teague,https://ecode360.com/TE6496,https://ecode360.com/print/TE6496?guid=TE6496
2410713,City of Haslet,https://ecode360.com/HA6337,https://ecode360.com/print/HA6337?guid=HA6337
2410257,City of Crandall,https://ecode360.com/CR6285,https://ecode360.com/print/CR6285?guid=CR6285
2409907,City of Bridgeport,https://ecode360.com/BR6258,https://ecode360.com/print/BR6258?guid=BR6258
2575704,City of Ivanhoe,https://ecode360.com/IV6359,https://ecode360.com/print/IV6359?guid=IV6359
2410824,City of Levelland,https://ecode360.com/LE6387,https://ecode360.com/print/LE6387?guid=LE6387
2412419,Town of Denver City,https://ecode360.com/DE6289,https://ecode360.com/print/DE6289?guid=DE6289
2413592,Village of The Hills,https://ecode360.com/TH6547,https://ecode360.com/print/TH6547?guid=TH6547
2411289,City of Oak Point,https://ecode360.com/OA6426,https://ecode360.com/print/OA6426?guid=OA6426
2410629,City of Granbury,https://ecode360.com/GR6324,https://ecode360.com/print/GR6324?guid=GR6324
2409776,City of Balcones Heights,https://ecode360.com/BA6234,https://ecode360.com/print/BA6234?guid=BA6234
2410367,City of Dumas,https://ecode360.com/DU6292,https://ecode360.com/print/DU6292?guid=DU6292
2409470,City of Clarksville,https://ecode360.com/CL6276,https://ecode360.com/print/CL6276?guid=CL6276
2410151,City of Josephine,https://ecode360.com/JO6364,https://ecode360.com/print/JO6364?guid=JO6364
2413352,Town of Sunnyvale,https://ecode360.com/SU6541,https://ecode360.com/print/SU6541?guid=SU6541
2411561,City of Krugerville,https://ecode360.com/KR6373,https://ecode360.com/print/KR6373?guid=KR6373
1385216,City of Bruceville-Eddy,https://ecode360.com/BR6261,https://ecode360.com/print/BR6261?guid=BR6261
2412476,Town of Elkhart,https://ecode360.com/EL6301,https://ecode360.com/print/EL6301?guid=EL6301
2411193,City of Muleshoe,https://ecode360.com/MU6413,https://ecode360.com/print/MU6413?guid=MU6413
2409969,City of Cameron,https://ecode360.com/CA6268,https://ecode360.com/print/CA6268?guid=CA6268
2410244,City of Cottonwood,https://ecode360.com/CO6284,https://ecode360.com/print/CO6284?guid=CO6284
2409894,City of Brazoria,https://ecode360.com/BR6256,https://ecode360.com/print/BR6256?guid=BR6256
2410639,City of Granger,https://ecode360.com/GR6326,https://ecode360.com/print/GR6326?guid=GR6326
2410093,City of Idalou,https://ecode360.com/ID6355,https://ecode360.com/print/ID6355?guid=ID6355
2410572,City of Garland,https://ecode360.com/GA6318,https://ecode360.com/print/GA6318?guid=GA6318
2409870,City of Blue Ridge,https://ecode360.com/BL6250,https://ecode360.com/print/BL6250?guid=BL6250
2409901,City of Brenham,https://ecode360.com/BR6257,https://ecode360.com/print/BR6257?guid=BR6257
2411812,City of Sanger,https://ecode360.com/SA6473,https://ecode360.com/print/SA6473?guid=SA6473
2410890,City of Lowry Crossing,https://ecode360.com/LO6395,https://ecode360.com/print/LO6395?guid=LO6395
2410728,City of Hearne,https://ecode360.com/HE6338,https://ecode360.com/print/HE6338?guid=HE6338
2410407,City of El Campo,https://ecode360.com/EL6299,https://ecode360.com/print/EL6299?guid=EL6299
2409749,City of Atlanta,https://ecode360.com/AT6230,https://ecode360.com/print/AT6230?guid=AT6230
2409954,City of Caddo Mills,https://ecode360.com/CA6265,https://ecode360.com/print/CA6265?guid=CA6265
2412868,Town of Lakeside City,https://ecode360.com/LA6378,https://ecode360.com/print/LA6378?guid=LA6378
2410384,City of Earth,https://ecode360.com/EA6294,https://ecode360.com/print/EA6294?guid=EA6294
2411908,City of Slaton,https://ecode360.com/SL6483,https://ecode360.com/print/SL6483?guid=SL6483
2411197,City of Murphy,https://ecode360.com/MU6414,https://ecode360.com/print/MU6414?guid=MU6414
2410273,City of Cuero,https://ecode360.com/CU6287,https://ecode360.com/print/CU6287?guid=CU6287
2411261,City of Nolanville,https://ecode360.com/NO6424,https://ecode360.com/print/NO6424?guid=NO6424
2411371,City of Paris,https://ecode360.com/PA6438,https://ecode360.com/print/PA6438?guid=PA6438
2410461,City of Euless,https://ecode360.com/EU6303,https://ecode360.com/print/EU6303?guid=EU6303
2412503,Town of Pottsboro,https://ecode360.com/PO6449,https://ecode360.com/print/PO6449?guid=PO6449
2411984,City of Stinnett,https://ecode360.com/ST6490,https://ecode360.com/print/ST6490?guid=ST6490
2411133,City of Monahans,https://ecode360.com/MO6406,https://ecode360.com/print/MO6406?guid=MO6406
2410806,City of Humble,https://ecode360.com/HU6351,https://ecode360.com/print/HU6351?guid=HU6351
2411962,City of Springtown,https://ecode360.com/SP6489,https://ecode360.com/print/SP6489?guid=SP6489
2411988,City of Stratford,https://ecode360.com/ST6491,https://ecode360.com/print/ST6491?guid=ST6491
2410107,City of Ingram,https://ecode360.com/IN6356,https://ecode360.com/print/IN6356?guid=IN6356
2410133,City of Jarrell,https://ecode360.com/JA6361,https://ecode360.com/print/JA6361?guid=JA6361
2410551,City of Frost,https://ecode360.com/FR6315,https://ecode360.com/print/FR6315?guid=FR6315
2412888,Town of Lefors,https://ecode360.com/LE6384,https://ecode360.com/print/LE6384?guid=LE6384
2409781,City of Bandera,https://ecode360.com/BA6236,https://ecode360.com/print/BA6236?guid=BA6236
2411395,City of Pecan Hill,https://ecode360.com/PE6439,https://ecode360.com/print/PE6439?guid=PE6439
2410800,City of Hudson,https://ecode360.com/HU6350,https://ecode360.com/print/HU6350?guid=HU6350
2410676,City of Gunter,https://ecode360.com/GU6332,https://ecode360.com/print/GU6332?guid=GU6332
2409421,City of Celina,https://ecode360.com/CE6272,https://ecode360.com/print/CE6272?guid=CE6272
2413227,Town of Collinsville,https://ecode360.com/CO4221,https://ecode360.com/print/CO4221?guid=CO4221
2411912,City of Smithville,https://ecode360.com/SM6484,https://ecode360.com/print/SM6484?guid=SM6484
2411232,City of New Home,https://ecode360.com/NE6419,https://ecode360.com/print/NE6419?guid=NE6419
2411321,City of Onalaska,https://ecode360.com/ON6430,https://ecode360.com/print/ON6430?guid=ON6430
2411791,City of San Juan,https://ecode360.com/SA6471,https://ecode360.com/print/SA6471?guid=SA6471
2410615,City of Goliad,https://ecode360.com/GO6321,https://ecode360.com/print/GO6321?guid=GO6321
2410981,City of Rockport,https://ecode360.com/RO6462,https://ecode360.com/print/RO6462?guid=RO6462
2409892,City of Brady,https://ecode360.com/BR6255,https://ecode360.com/print/BR6255?guid=BR6255
2410910,City of Magnolia,https://ecode360.com/MA6399,https://ecode360.com/print/MA6399?guid=MA6399
2411426,City of Pineland,https://ecode360.com/PI6444,https://ecode360.com/print/PI6444?guid=PI6444
2410290,City of Dalworthington Gardens,https://ecode360.com/DA6288,https://ecode360.com/print/DA6288?guid=DA6288
2412529,Town of Ransom Canyon,https://ecode360.com/RA6537,https://ecode360.com/print/RA6537?guid=RA6537
2412711,Town of Groom,https://ecode360.com/GR6331,https://ecode360.com/print/GR6331?guid=GR6331
2411303,City of Odessa,https://ecode360.com/OD6428,https://ecode360.com/print/OD6428?guid=OD6428
2411866,City of Seminole,https://ecode360.com/SE6478,https://ecode360.com/print/SE6478?guid=SE6478
2411608,City of Lake Worth,https://ecode360.com/LA6377,https://ecode360.com/print/LA6377?guid=LA6377
2411239,City of Newark,https://ecode360.com/NE6421,https://ecode360.com/print/NE6421?guid=NE6421
2410329,City of DeSoto,https://ecode360.com/DE6290,https://ecode360.com/print/DE6290?guid=DE6290
2411760,City of Saint Jo,https://ecode360.com/SA6468,https://ecode360.com/print/SA6468?guid=SA6468
2409943,City of Burleson,https://ecode360.com/BU6623,https://ecode360.com/print/BU6623?guid=BU6623
2412442,Town of Double Oak,https://ecode360.com/DO6529,https://ecode360.com/print/DO6529?guid=DO6529
2409435,City of Chandler,https://ecode360.com/CH4875,https://ecode360.com/print/CH4875?guid=CH4875
2412433,Town of DISH,https://ecode360.com/DI6618,https://ecode360.com/print/DI6618?guid=DI6618
2409869,City of Blue Mound,https://ecode360.com/BL6249,https://ecode360.com/print/BL6249?guid=BL6249
2410438,City of Emory,https://ecode360.com/EM6302,https://ecode360.com/print/EM6302?guid=EM6302
2411530,City of Red Oak,https://ecode360.com/RE6455,https://ecode360.com/print/RE6455?guid=RE6455
2411541,City of Kilgore,https://ecode360.com/KI6371,https://ecode360.com/print/KI6371?guid=KI6371
2411436,City of Plainview,https://ecode360.com/PL6447,https://ecode360.com/print/PL6447?guid=PL6447
2413105,Town of Panhandle,https://ecode360.com/PA6436,https://ecode360.com/print/PA6436?guid=PA6436
2409753,City of Aubrey,https://ecode360.com/AU6231,https://ecode360.com/print/AU6231?guid=AU6231
2410978,City of Rockdale,https://ecode360.com/RO6461,https://ecode360.com/print/RO6461?guid=RO6461
